id,text,HS,TR,AG,original_text
20001,Easyjet wants to double the number of female pilots' You'll see to park the plane.. http://t.co/46NuLkm09x,1,0,0,Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. http://t.co/46NuLkm09x
20002,The government must create strict immigration control in the border areas with Colombia because after 8-20 they will want to come en masse,1,0,0,El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa
20003,I see women destroyed by workplace and street harassment. Others with depression due to rape or physical abuse. And I met several who committed suicide for this type of macho behavior. Are you going to continue with your poor show? https://t.co/JE6MEgvIh4,0,0,0,Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre? https://t.co/JE6MEgvIh4
20004,"— I am respectful with others, I only remind them of what they are. And if they're scum it's not my fault. ... - Of course I know it! What do you take me for!?",0,0,0,"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?"
20007,"Antonio Caballero and how to be tasteless and ignorant at the same time. Of course, sexual harassment and rape are not the same, but there are several behaviors that make up sexual violence.",0,0,0,Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.
20008,@Zurine3 How much son of a bitch is left over in the world...,0,0,0,@Zurine3 Cuánto hijo de puta sobra en el mundo...
20009,Pablo Casado should study a master's degree in immigration https://t.co/Pcz6GPJ6dG,0,0,0,Pablo Casado debería estudiar un máster en inmigración https://t.co/Pcz6GPJ6dG
20010,you do that to me I kick you in the face https://t.co/2drqUu5Rwc,0,0,0,vos me haces eso te pego una patada en la cara https://t.co/2drqUu5Rwc
20012,#Noticiasdelalinea: Motorcycle and undocumented Haitian national arrested in Guatapanal https://t.co/qs9MTKddqK,0,0,0,#Noticiasdelalinea: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado https://t.co/qs9MTKddqK
20013,"@MaivePerez Cry, you deserve it for being a bitch",1,1,1,@MaivePerez Llora te lo.mereces por zorra
20014,Undocumented parents went on hunger strike to ask to be released https://t.co/ZPuBt8kUrK https://t.co/zRentrV0Kq,0,0,0,Padres indocumentados realizaron una huelga de hambre para pedir ser liberados https://t.co/ZPuBt8kUrK https://t.co/zRentrV0Kq
20015,I don't know why there are people who think that all immigrants are criminals.,0,0,0,No sé porque hay personas que piensan que todos los inmigrantes son delincuentes
20016,"To Tomi Alegre JAKSKKSJSJ — Shut up, I'm in mourning bitch https://t.co/ilHP09OzCK",0,0,0,A Tomi Alegre JAKSKKSJSJ — Cállate q tdv estoy de duelo puta https://t.co/ilHP09OzCK
20017,@mspn95 @SC_ESPN Shut up you chicken bitch and sing it how you want!! Easy ass bag!! Hahahaha son,1,1,1,@mspn95 @SC_ESPN Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo
20018,Meatballs! Almost in the style of the fodongas but in the Gabacho.,0,0,0,Albondigas! Casi al estilo de las fodongas pero en el Gabacho.
20020,"Everyone: -#NoTodosLosHombres -PPK, president of luxury -Peru is not going to the 2017 World Cup: Ha, deluded.",0,0,0,"Todos: -#NoTodosLosHombres -PPK, presidente de lujo -Perú no va al mundial 2017: Já, ilusos."
20021,The judge summons the minor who reported abuse by #Arandina players to testify https://t.co/vD92Mxs04Q https://t.co/kbTiYIpwol,0,0,0,El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la #Arandina https://t.co/vD92Mxs04Q https://t.co/kbTiYIpwol
20022,COME ON THE FUCKING MOTHER DESERVED SO MUCH EFFORT AND HAVING PASSED SO MANY PHONES WE NEEDED THIS REST #SoltarteNoEstáEnMisPlanesMica,0,0,0,VAMOOOO LA PUTA MADRE SE LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO #SoltarteNoEstáEnMisPlanesMica
20023,"PS Let's see if they shut down Tv3 for the fucking time, I still don't know what public service it offers to deserve money from our taxes or it only hurts that some steal?",0,0,0,Pd a ver si cierran de una puta vez Tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos?
20024,"It was clear to me that this life as a cast-machine immigrant worker was going to be difficult. And it's true, it's hard hahaha",0,0,0,"Yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil. Y es verdad, es difícil jajaja"
20025,"Look at you, I'm fed up now, I can't take any more nonsense",0,0,0,"Mira de vd estoy hasta la polla ya, no aguanto más tonterías"
20026,"@enkarny282 @irenejunquera You have no fucking idea. The melody is my girlfriend, she's from Seville...one more whore.",1,1,1,@enkarny282 @irenejunquera No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.
20027,@PepeGonzalezRP @EsmeSese Diappoler* hahaha shut up Pepe niño polla They have filled me with notifications hahahahaha,0,0,0,@PepeGonzalezRP @EsmeSese Diappoler* jajaja cállate Pepe niño polla Si me han llenado de notificaciónes jajajajaja
